id,tag_name,photo_id
1,metropolis,1
2,city,1
3,night,1
4,"metropolitan area",1
5,downtown,1
6,"mixed use",1
7,building,1
8,hotel,1
9,text,2
10,font,2
11,"black and white",2
12,logo,2
13,monochrome,2
14,brand,2
15,graphics,2
16,black,3
17,"black and white",3
18,"monochrome photography",3
19,text,3
20,wall,3
21,photography,3
22,monochrome,3
23,architecture,3
24,font,3
25,design,3
26,black,4
27,"black and white",4
28,"monochrome photography",4
29,text,4
30,wall,4
31,photography,4
32,monochrome,4
33,font,4
34,design,4
35,area,4
36,blue,5
37,text,5
38,font,5
39,pattern,5
40,design,5
41,line,5
42,"black and white",5
43,material,5
44,product,5
45,"visual arts",5
46,blue,6
47,text,6
48,font,6
49,pattern,6
50,design,6
51,material,6
52,"visual arts",6
53,illustration,6
54,product,6
55,art,6
56,"sailing ship",7
57,"black and white",7
58,"monochrome photography",7
59,clipper,7
60,metropolis,7
61,"tall ship",7
62,galleon,7
63,building,7
64,mast,7
65,monochrome,7
66,"black and white",8
67,transport,8
68,"monochrome photography",8
69,building,8
70,metropolis,8
71,"metropolitan area",8
72,monochrome,8
73,"train station",8
74,facade,8
75,downtown,8
76,black,9
77,light,9
78,"black and white",9
79,lighting,9
80,line,9
81,triangle,9
82,darkness,9
83,angle,9
84,"spider web",9
85,monochrome,9
86,black,10
87,water,10
88,light,10
89,moisture,10
90,darkness,10
91,pearl,10
92,chain,10
93,"black and white",10
94,"macro photography",10
95,font,10
96,black,11
97,"black and white",11
98,"monochrome photography",11
99,tree,11
100,photography,11
101,monochrome,11
102,sky,11
103,atmosphere,11
104,"still life photography",11
105,earth,11
106,black,12
107,"black and white",12
108,"monochrome photography",12
109,"close up",12
110,photography,12
111,monochrome,12
112,snout,12
113,wildlife,12
114,fur,12
115,"stock photography",12
116,black,13
117,"black and white",13
118,light,13
119,structure,13
120,lighting,13
121,line,13
122,"monochrome photography",13
123,darkness,13
124,monochrome,13
125,symmetry,13
126,black,14
127,white,14
128,photograph,14
129,text,14
130,"black and white",14
131,light,14
132,photography,14
133,font,14
134,darkness,14
135,organism,14
136,black,15
137,"black and white",15
138,light,15
139,"monochrome photography",15
140,lighting,15
141,monochrome,15
142,darkness,15
143,font,15
144,"light fixture",15
145,graphics,15
146,black,16
147,"black and white",16
148,light,16
149,chain,16
150,"monochrome photography",16
151,jewellery,16
152,font,16
153,monochrome,16
154,circle,16
155,"black and white",17
156,metal,17
157,monochrome,17
158,"monochrome photography",17
159,design,17
160,material,17
161,pattern,17
162,glass,17
163,steel,17
164,sky,18
165,black,18
166,night,18
167,"black and white",18
168,atmosphere,18
169,"monochrome photography",18
170,landmark,18
171,darkness,18
172,light,18
173,"atmosphere of earth",18
174,"black and white",19
175,monochrome,19
176,"monochrome photography",19
177,line,19
178,circle,19
179,symmetry,19
180,ceiling,19
181,daylighting,19
182,pattern,19
183,"stock photography",19
184,"black and white",20
185,transport,20
186,street,20
187,vehicle,20
188,"monochrome photography",20
189,"public transport",20
190,monochrome,20
191,car,20
192,building,21
193,property,21
194,"black and white",21
195,facade,21
196,"monochrome photography",21
197,history,21
198,monochrome,21
199,"commercial building",21
200,house,21
201,window,21
202,track,22
203,transport,22
204,"rail transport",22
205,"black and white",22
206,train,22
207,locomotive,22
208,"monochrome photography",22
209,"metropolitan area",22
210,lane,22
211,metropolis,22
212,"black and white",23
213,building,23
214,arcade,23
215,arch,23
216,history,23
217,facade,23
218,"monochrome photography",23
219,street,23
220,"medieval architecture",23
221,monochrome,23
222,black,25
223,light,25
224,"black and white",25
225,darkness,25
226,line,25
227,"spider web",25
228,electricity,25
229,night,25
230,"still life photography",25
231,monochrome,25
232,black,26
233,water,26
234,light,26
235,moisture,26
236,"black and white",26
237,"macro photography",26
238,darkness,26
239,drop,26
240,"still life photography",26
241,"computer wallpaper",26
242,black,28
243,"black and white",28
244,light,28
245,photography,28
246,"monochrome photography",28
247,monochrome,28
248,"still life photography",28
249,darkness,28
250,line,28
251,"product design",28
252,"black and white",29
253,"monochrome photography",29
254,photography,29
255,monochrome,29
256,"close up",29
257,tree,29
258,"stock photography",29
259,"still life photography",29
260,snout,29
261,black,30
262,"black and white",30
263,structure,30
264,light,30
265,line,30
266,darkness,30
267,"monochrome photography",30
268,monochrome,30
269,night,30
270,symmetry,30
271,black,31
272,"black and white",31
273,light,31
274,text,31
275,photography,31
276,darkness,31
277,"bling bling",31
278,font,31
279,"monochrome photography",31
280,monochrome,31
281,black,32
282,"black and white",32
283,darkness,32
284,text,32
285,light,32
286,"monochrome photography",32
287,photography,32
288,monochrome,32
289,font,32
290,graphics,32
291,black,33
292,light,33
293,"black and white",33
294,night,33
295,chain,33
296,darkness,33
297,line,33
298,font,33
299,monochrome,33
300,"monochrome photography",33
301,black,34
302,"black and white",34
303,"monochrome photography",34
304,monochrome,34
305,photography,34
306,metal,34
307,design,34
308,water,34
309,pattern,34
310,material,34
311,"black and white",35
312,"monochrome photography",35
313,monochrome,35
314,line,35
315,circle,35
316,symmetry,35
317,"stock photography",35
318,pattern,35
319,"computer wallpaper",35
320,transport,36
321,"black and white",36
322,"public transport",36
323,vehicle,36
324,car,36
325,"monochrome photography",36
326,"metropolitan area",36
327,monochrome,36
328,passenger,36
329,street,36
330,track,37
331,transport,37
332,"rail transport",37
333,"black and white",37
334,"urban area",37
335,"metropolitan area",37
336,train,37
337,locomotive,37
338,"monochrome photography",37
339,atmosphere,37
340,wood,38
341,darkness,39
342,night,39
343,"fixed link",39
344,sky,39
345,wood,40
346,floor,40
347,line,40
348,flooring,40
349,"musical instrument",40
350,net,40
351,material,40
352,angle,40
353,hardwood,40
354,"string instrument",40
355,rock,41
356,"geological phenomenon",41
357,geology,41
358,fault,41
359,canyon,41
360,formation,41
361,bedrock,41
362,outcrop,41
363,terrain,41
364,escarpment,41
365,"water resources",42
366,soil,42
367,water,42
368,grass,42
369,landscape,42
370,watercourse,42
371,geology,42
372,rock,42
373,bank,42
374,red,43
375,wood,43
376,line,43
377,brick,43
378,sky,44
379,"atmosphere of earth",44
380,structure,44
381,atmosphere,44
382,"aerial photography",44
383,night,44
384,"fixed link",44
385,track,44
386,landscape,44
387,wood,45
388,line,45
389,"wood stain",45
390,floor,45
391,angle,45
392,flooring,45
393,material,45
394,daylighting,45
395,square,45
396,net,45
397,soil,46
398,grass,46
399,landscape,46
400,geology,46
401,rock,46
402,"black and white",47
403,"monochrome photography",47
404,arm,47
405,muscle,47
406,human,47
407,monochrome,47
408,drawing,47
409,chest,47
410,art,47
411,"visual arts",47
412,photograph,48
413,"black and white",48
414,"picture frame",48
415,art,48
416,drawing,48
417,monochrome,48
418,artwork,48
419,"monochrome photography",48
420,"stock photography",48
421,text,49
422,"black and white",49
423,font,49
424,paper,49
425,document,49
426,line,49
427,monochrome,49
428,brand,49
429,product,49
430,"automotive exterior",50
431,steel,50
432,metal,50
433,material,50
434,angle,50
435,"auto part",50
436,concrete,50
437,floor,50
438,"automotive exterior",51
439,steel,51
440,metal,51
441,material,51
442,angle,51
443,"auto part",51
444,concrete,51
445,floor,51
446,"black and white",52
447,"monochrome photography",52
448,arm,52
449,muscle,52
450,human,52
451,monochrome,52
452,chest,52
453,hand,52
454,drawing,52
455,"figure drawing",52
456,text,53
457,"black and white",53
458,font,53
459,paper,53
460,document,53
